page,raw_line,lane_candidate,matched_lane,rate_1,rate_2,lane,rate_value,diff_rate_1
9,"KBL NBO F24 - KISH 147 BEER BEER NBO fas ASH iat 74,580.04 67,322.05",F24 - KISH 147 BEER,,74580.04,67322.05,,,
9,"KBL NEO F24- KITALE 147 BEER BEER NBO RIFT KITALE 147 4,274.52 84,847.07",F24- KITALE 147 BEER,KBL NBO F20 - KITALE 14T BEER,4274.52,84847.07,KBL NBO F20 - KITALE 14T BEER,577.75,3696.7700000000004
9,"KBL NBO F24 - KITU 147 BEER Heer Noo coast | KiTul 1aT 41,298.10 37,168.29",F24 - KITU 147 BEER,KBL NBO F20 - KITUI 14T BEER,41298.1,37168.29,KBL NBO F20 - KITUI 14T BEER,500.1,40798.0
9,"KBL NBO F24 - LANET 147 BEER BEER his} T ul aT 46,202.47 41,582.22",F24 - LANET 147 BEER,,46202.47,41582.22,,,
9,"KGL NBO F24- LIMURU 141 BEER rer Ngo NAIROBI |LIMURU 1aT 15,643.03 14,078.73",F24- LIMURU 141 BEER,KBL NBO F20 - LIMURU 14T BEER,15643.03,14078.73,KBL NBO F20 - LIMURU 14T BEER,321.46,15321.570000000002
9,"KBL NBO F24 - MACHAKOS 147 BEER BEER NBO [coast |MACHAKas “aay 22,126.95 19,914.26",F24 - MACHAKOS 147 BEER,KBL NBO F20 - MACHAKOS 14T BEER,22126.95,19914.26,KBL NBO F20 - MACHAKOS 14T BEER,937.71,21189.24
9,"K@L NEO F24 - MARALAL 147 BEER 141 8,951,72 73,765.55",F24 - MARALAL 147 BEER,KBL NBO F20 - MARALAL 14T BEER,73765.55,,KBL NBO F20 - MARALAL 14T BEER,993.59,72771.96
9,"KBL NEO F24. MATHARE 147 BEER BEER INBO [NAIROBI [MATHARE 147 10,764.17 9,687.75",F24. MATHARE 147 BEER,,10764.17,9687.75,,,
9,"KBLNGO F24- MERU 14T BEER BEER INBO | MOUNTAIN |MERU ur 49,332.59 44,399.33",F24- MERU 14T BEER,KBL NBO F20 - MERU 14T BEER,49332.59,44399.33,KBL NBO F20 - MERU 14T BEER,698.56,48634.03
9,"KEL NBO F24 - MOGOTIO 147 BEER GEE Ngo RT. moGotio 1aT 56,023.16 50,420.84",F24 - MOGOTIO 147 BEER,,56023.16,50420.84,,,
9,"KBL NBO F24 - MTONGWE 147 BEER BEER NRO coast [Mionawt eth 417,378.03 105,640.23",F24 - MTONGWE 147 BEER,,417378.03,105640.23,,,
9,"KGL NBO F24 - MURANGA 147 BEER Oren NRO MOUNTAIN |MURANGA 14T 24,495.00 22,045.50",F24 - MURANGA 147 BEER,KBL NBO F20 - MURANGA 14T BEER,24495.0,22045.5,KBL NBO F20 - MURANGA 14T BEER,354.08,24140.92
9,"BL NBO F24 - MWIKI14T BEER NAIROBI |MWiKI ut 10,764.17 9,687.75",F24 - MWIKI14T BEER,KBL NBO F20 - MWIKI 14T BEER,10764.17,9687.75,KBL NBO F20 - MWIKI 14T BEER,243.03,10521.14
9,"KBLNOO F24 - NAIROBI 147 BEER BEER Ngo NAIROBI [NAIROAL 1at 13,476.02 12,129.14",F24 - NAIROBI 147 BEER,KBL NBO F20 - NAIROBI 14T BEER,13476.02,12129.14,KBL NBO F20 - NAIROBI 14T BEER,111.04,13364.98
9,"KBL NBO F24 - NRB NASRA 14T BEER oben Noo NAIROB) _|NRB NASRA ED 1aT 10,666.17 9,599.55",F24 - NRB NASRA 14T BEER,KBL NBO F20 - NRB NASRA 14T Beer,10666.17,9599.55,KBL NBO F20 - NRB NASRA 14T Beer,243.03,10423.14
9,"KAl NBO F24 - RONGAI14T BEER Rongal 1aT 11,899.85 10,709.87",F24 - RONGAI14T BEER,,11899.85,10709.87,,,
9,"KBL NBO F24- RUIRU 147 BEER RUIRU 14T 13,476.82 12,329.14",F24- RUIRU 147 BEER,KBL NBO F20 - RUIRU 14T BEER,13476.82,12329.14,KBL NBO F20 - RUIRU 14T BEER,111.04,13365.779999999999
9,"KBL NBO F24- TALA 147 BEER TAA 1at 29,031.72 26,128.55",F24- TALA 147 BEER,KBL NBO F20 - TALA 14T BEER,29031.72,26128.55,KBL NBO F20 - TALA 14T BEER,983.38,28048.34
9,"KBL NBO F24. UKUNDA 147 BEER UKUNDA 1aT} 124,170.03 111,753.03",F24. UKUNDA 147 BEER,,124170.03,111753.03,,,
10,"KBL NBO F24- CHUKA 307 BEUR BEER NBO MOUNTAIN |CHUKA 307 69,045.12 62,140.61 6,904.51",F24- CHUKA 307 BEUR BEER,,69045.12,62140.61,,,
10,"KOLNBO F24. EMALI30T BEER OLE Noo coast [EMAL 307 52,623.99 47,361.59 5,262.40",F24. EMALI30T BEER,,52623.99,47361.59,,,
10,"KOLNDO F24- EMBU 30T BEER BEER Neo MOUNTAIN |EMBU 307 56,317.10 50,685.39 5,63L.71",F24- EMBU 30T BEER,KBL NBO F20 - EMBU 30T BEER,56317.1,50685.39,KBL NBO F20 - EMBU 30T BEER,26.67,56290.43
10,"KEL NBO F24- GARISSA 30T BEER BUER [Ngo MOUNTAIN [GARISSA aay 149,174.63 134,257.17 14,517.48",F24- GARISSA 30T BEER,KBL NBO F20 - GARISSA 30T BEER,149174.63,134257.17,KBL NBO F20 - GARISSA 30T BEER,578.2,148596.43
10,"XBLNGO F24. GIKOMBA 307 BEER NAIROBI [GIKOMBA 30T 10,006.20 16,277.58 1,808.62",F24. GIKOMBA 307 BEER,KBL NBO F20 - GIKOMBA 30T BEER,10006.2,16277.58,KBL NBO F20 - GIKOMBA 30T BEER,814.48,9191.720000000001
10,"KGLNAG F24 - GiLGil SOY MEER BEER NBO RIFT JGiLGit 301 55,779.97 50,201.97 5,578,00",F24 - GiLGil SOY MEER BEER,,55779.97,50201.97,,,
10,"KOL NIG F24- HURLIGHUM DEF 307 BEER AIROML —|HUALIGHUM DEF 30T 18,086.20 16,277.58 1,808.62",F24- HURLIGHUM DEF 307 BEER,,18086.2,16277.58,,,
10,"KBL NBO F24-HURUMA 307 BEER NAIROBI Huruma sar 46,750,97 15,075.87 1,675.10",F24-HURUMA 307 BEER,,15075.87,1675.1,,,
10,"MBL NGO F24- KABARNET 30T BEER RIFT KABARNET 3aT 123.952,00 109,756.80 _12,195.20|",F24- KABARNET 30T BEER,KBL NBO F20 - KABARNET 30T BEER,123.95,109756.8,KBL NBO F20 - KABARNET 30T BEER,800.0,-676.05
10,"- 5 F24. KAPSABET 30T BEER NbO RIFT Kapsabet 30T 128,215.14 111,343.63 12,371.51 |",F24. KAPSABET 30T BEER,,128215.14,111343.63,,,
10,"OL NAO F24- KERICHO 307 BEER Noo Aue KERICHO 30T 106,344.77 93,730.29 10,634.48",F24- KERICHO 307 BEER,KBL NBO F20 - KERICHO 30T BEER,106344.77,93730.29,KBL NBO F20 - KERICHO 30T BEER,874.25,105470.52
10,"KBL NBO F24- LOKICHOGIO SOT 6 BEER 307] 321,264.99 289,138.49 32,326.90",F24- LOKICHOGIO SOT 6 BEER,KBL NBO F20 - LOKICHOGIO 30T BEER,321264.99,289138.49,KBL NBO F20 - LOKICHOGIO 30T BEER,180.6,321084.39
10,"KBL NBO F24- MARALAL 307 BEER BEER 30T 297,006.31 267,305.68 29,700.63",F24- MARALAL 307 BEER,KBL NBO F20 - MARALAL 30T BEER,297006.31,267305.68,KBL NBO F20 - MARALAL 30T BEER,426.85,296579.46
10,"KUL NAO F24- MARSAQIT 307 ACER BEER NBO MOUNTAIN [MARS ABIT jot 197,506.59 177,755.93 49,750.66",F24- MARSAQIT 307 ACER BEER,,197506.59,177755.93,,,
10,"KGL NGO F24- MATHARE 307 BEER BEER Nao NAIROM —[MATHARE 307 14,798.80 13,318.92 1,479.88",F24- MATHARE 307 BEER,,14798.8,13318.92,,,
10,"KBL.NBO F24- MOGOTIO 30T BEER BEER [NBO RIFT MOGOTIO 30T 89,138.20 80,224.38 6,913.82",F24- MOGOTIO 30T BEER,,89138.2,80224.38,,,
10,"KBL NBO F24. MURANGA 30T BEER BEER NBO MOUNTAIN [MURANGA 30T 34,535.32 31,059.61 3,455.51",F24. MURANGA 30T BEER,KBL NBO F20 - MURANGA 30T BEER,34535.32,31059.61,KBL NBO F20 - MURANGA 30T BEER,619.51,33915.81
10,"KUL NBO F24- MWIKIZOT BEER BEER NBO NAIKOOL [WIKI 307 14,798.80 13,318.92 1,479.88",F24- MWIKIZOT BEER,,14798.8,13318.92,,,
10,"KBL.NBO F24- NAIROBI THT 30T GEER BEER Nb NAIROBI [NAIROBI THT _30T 14,798.80 13,718.92 1,479.88",F24- NAIROBI THT 30T GEER BEER,,14798.8,13718.92,,,
10,"KBL NBO F24- NAIVASHA 307 BEER BEER NGO RIFT NAIVASHA i0F 45,257.04 40,732.06 4,525.78",F24- NAIVASHA 307 BEER,KBL NBO F20 - NAIVASHA 30T BEER,45257.04,40732.06,KBL NBO F20 - NAIVASHA 30T BEER,840.66,44416.38
10,"KGL NBO F24- NANOK JOT BLER BEER NEO RIFT NAROK jor 41,275.44 37,147.90 4,127.44",F24- NANOK JOT BLER BEER,,41275.44,37147.9,,,
10,"KALNBO F24- NKUBU JOT BEER NEO MOUNTAIN [NKUDU 30T 86,540.65 77,886.59 8,654.07",F24- NKUBU JOT BEER,,86540.65,77886.59,,,
10,"KBL NSO F24- NYALI30T BEER BEER NO COAST NYALI 30T 189,644.62 270,600.16 16,964.46",F24- NYALI30T BEER,,189644.62,270600.16,,,
10,"KBL NBO F24. NYERI30T BEER NBO MOUNTAIN [NVERI 307! $9,208.23 $3,287.41 5,920.82",F24. NYERI30T BEER,,9208.23,3287.41,,,
10,"Kil, NBO F24 - OTHAYA JOT DEER BEER NEO MOUNTAIN [OTHAYA 307! 49,452.75 44,507 48 4,945.20",F24 - OTHAYA JOT DEER BEER,,49452.75,4945.2,,,
10,"KBL NBO F24- RONGAI30T BEER nee [wag NAIROBI |Rongal 307! 17,263.63 15,537.25 1,726.36",F24- RONGAI30T BEER,,17263.63,15537.25,,,
10,"Kal NOO F24- AUIRU JOT DEER IBEER NBO. MOUNTAIN [RUIRU 307) 17,439.73 15,695.84 “3,243,",F24- AUIRU JOT DEER IBEER,,17439.73,15695.84,,,
10,"KGL NBO F24- TALA 307 BEER BEER OAST —_|TALA 307 32,979.00 29,601,10 3,297.90",F24- TALA 307 BEER,KBL NBO F20 - TALA 30T BEER,32979.0,3297.9,KBL NBO F20 - TALA 30T BEER,11.23,32967.77
10,"KBL NBO F24- TAVETA 307 BEER NBO COAST _|TAVETA 30T 135,259.09 121,733.18 13,525.91",F24- TAVETA 307 BEER,KBL NBO F20 - TAVETA 30T BEER,135259.09,121733.18,KBL NBO F20 - TAVETA 30T BEER,686.97,134572.12
10,"KBL NGO F24- THIKA 207 GEER BEER NBO MOUNTAIN [THIKA 307! 23,278.04 20,950.24 2,927.90",F24- THIKA 207 GEER BEER,,23278.04,20950.24,,,
10,"KBL NBO F24- UKUNDA 30T BEER Jacek NGO COAST [UKUNDA 307] 142,485.00 120,146.50 14,238.50",F24- UKUNDA 30T BEER,,142485.0,120146.5,,,
10,"KOU NDO F24-ATHIAIVER 7.57 BEER NEO NAIROBI [ATHIRIVER LST 13,274.85 10,147.37",F24-ATHIAIVER 7.57 BEER,KBL NBO F20 - ATHIRIVER 7.5T BEER,7.57,13274.85,KBL NBO F20 - ATHIRIVER 7.5T BEER,864.13,-856.56
10,"KBL NBO F24 - BOMET 7.5T BEER JBEER ———[NOO Aur BOMET 757 43,687.77 39,418.99",F24 - BOMET 7.5T BEER,KBL NBO F20 - BOMET 7.5T BEER,43687.77,39418.99,KBL NBO F20 - BOMET 7.5T BEER,938.54,42749.229999999996
10,"KBL NBO F24 - BURUBURU 7.57 BEER BEER NBO 757] 11,138.83 024",F24 - BURUBURU 7.57 BEER,,7.57,11138.83,,,
10,"KBLNGO F24. GUSIA 7.5T BEER poten NEO 7.51 63,941.74 75,547.57",F24. GUSIA 7.5T BEER,,7.51,63941.74,,,
11,"KBL NOO F24 - DAGORETTI CORNER 7.5T BEER DAGORET CONNER 25t 41,135,3 10,024.95",F24 - DAGORETTI CORNER 7.5T BEER,KBL NBO F20 - DAGORETTI CORNER 30T BEER,10024.95,,KBL NBO F20 - DAGORETTI CORNER 30T BEER,770.32,9254.630000000001
11,"KBLNBO F24. DANDORA 7.5T BEER DANDORA 7.57 9,050.36 8,145.32",F24. DANDORA 7.5T BEER,,7.57,9050.36,,,
11,"KBL NBO F24 - EMALI7.ST BEER MAU 7.5 26,766.48 24,089.83",F24 - EMALI7.ST BEER,KBL NBO F20 - EMALI 7.5T BEER,26766.48,24089.83,KBL NBO F20 - EMALI 7.5T BEER,671.92,26094.56
11,"8O F24-GATUNDU 7.57 BEER GATUNDU 2.51 23,556.07 ~_42,201,18",F24-GATUNDU 7.57 BEER,KBL NBO F20 - GATUNDU 7.5T BEER,7.57,2.51,KBL NBO F20 - GATUNDU 7.5T BEER,192.73,-185.16
11,"KBLNBO F24 - GILGIL 7.S7 BEER GILGIL 7.57 27,076.49 24,468.84",F24 - GILGIL 7.S7 BEER,KBL NBO F20 - GILGIL 7.5T BEER,7.57,27076.49,KBL NBO F20 - GILGIL 7.5T BEER,988.26,-980.6899999999999
11,"KOL NBO F24- NURLIGHUM DEF 7.57 BEER HURUIGHUM DEF 251 10,158.83 9,142.95",F24- NURLIGHUM DEF 7.57 BEER,,7.57,10158.83,,,
11,"KL NBO F24. HURUMA 7.57 BEER HURUMA ST 11,138.83 10,024.95",F24. HURUMA 7.57 BEER,,7.57,11138.83,,,
11,"KBL NGO F24- KAGIO 7.5T BEER 2,51 23,871.40 21,484.26",F24- KAGIO 7.5T BEER,,23871.4,21484.26,,,
11,"KOL NBO F24- KERICHO 7.5T BEER KERICHO 2.57 49,087.93 44,899.12",F24- KERICHO 7.5T BEER,KBL NBO F20 - KERICHO 7.5T BEER,2.57,49087.93,KBL NBO F20 - KERICHO 7.5T BEER,265.22,-262.65000000000003
11,"KBL NEO F24 . KIBERA 7.57 BEER fA 751 9,050.36 8,145.32",F24. KIBERA 7.57 BEER,KBL NBO F20 - KIBERA 7.5T BEER,7.57,9050.36,KBL NBO F20 - KIBERA 7.5T BEER,794.24,-786.67
11,"KBL NBO F24 - KIBWEZI7.ST BEER KIBWEZI 7.57 38,727.67 34,854.90",F24 - KIBWEZI7.ST BEER,KBL NBO F20 - KIBWEZI 7.5T BEER,7.57,38727.67,KBL NBO F20 - KIBWEZI 7.5T BEER,877.22,-869.65
11,"KOL HOO F24- KIS 7.57 BEER ISI 7.57 56,369.44 $0,732.80",F24- KIS 7.57 BEER,,7.57,7.57,,,
11,"KBL NBO F24 - KITALE 7.57 BEER RITALE 751 68,220.40 61,405.56",F24 - KITALE 7.57 BEER,KBL NBO F20 - KITALE 7.5T BEER,7.57,68220.4,KBL NBO F20 - KITALE 7.5T BEER,980.0,-972.43
11,"KALNGO F24 - KITUI7.ST BEER Kirul 2:57 32,141.62 28,927.46",F24 - KITUI7.ST BEER,KBL NBO F20 - KITUI 7.5T BEER,32141.62,28927.46,KBL NBO F20 - KITUI 7.5T BEER,156.76,31984.86
11,"KBL NEO F24 - LIMURU 7.5T BEER MURU 7.51 32,735.36 11,461.82",F24 - LIMURU 7.5T BEER,KBL NBO F20 - LIMURU 7.5T BEER,7.51,32735.36,KBL NBO F20 - LIMURU 7.5T BEER,354.45,-346.94
11,"KBLNOO F24 - LOITOKTOK 7.57 BEER LOMTOKTOK 731 37,151.73 73,436.54",F24 - LOITOKTOK 7.57 BEER,,7.57,37151.73,,,
11,"KDLUNGO F24 - MACHAKOS 7.57 BEER MACHARKOS 757 17,200.08 15,870.07",F24 - MACHAKOS 7.57 BEER,KBL NBO F20 - MACHAKOS 7.5T BEER,7.57,17200.08,KBL NBO F20 - MACHAKOS 7.5T BEER,12.32,-4.75
11,"KBL NBO F24 - MAKONGENI 7.57 BEER MAKONGENI 751 13,851,38 12,466.24",F24 - MAKONGENI 7.57 BEER,,7.57,12466.24,,,
11,"KBL.NOO F246. MATHARE 7.57 BEER 251 9,950,36 8,345.32",F246. MATHARE 7.57 BEER,,7.57,8345.32,,,
11,"KBL NEO F24 . MAUA 7.5T BEER 7.51 50,867.91 45,781.12",F24. MAUA 7.5T BEER,KBL NBO F20 - MAUA 7.5T BEER,7.51,50867.91,KBL NBO F20 - MAUA 7.5T BEER,265.22,-257.71000000000004
11,"KBL NSO F24- MOGOTIO 7.5T BEER 751 43,134.94 38,911.45",F24- MOGOTIO 7.5T BEER,,43134.94,38911.45,,,
11,"Kil NDO F24- MTONGWE 7.57 BEER 7.51 88,692.23 79,022.99",F24- MTONGWE 7.57 BEER,,7.57,7.51,,,
11,"KBL NBO F24 - MURANGA 7.ST BEER 2.57 19,303.10 17,372.79",F24 - MURANGA 7.ST BEER,KBL NBO F20 - MURANGA 7.5T BEER,2.57,19303.1,KBL NBO F20 - MURANGA 7.5T BEER,56.22,-53.65
11,"KBL NBO F24- MWIKI 7.57 BEER 3 9,050.36 8,145.32",F24- MWIKI 7.57 BEER,KBL NBO F20 - MWIKI 7.5T BEER,7.57,9050.36,KBL NBO F20 - MWIKI 7.5T BEER,794.24,-786.67
11,"KBLNGO F24- NAKURU 7.57 BEER BEER NBO RIFT NAKURU 2.57 33,433.69 30,088,407",F24- NAKURU 7.57 BEER,KBL NBO F20 - NAKURU 7.5T BEER,7.57,2.57,KBL NBO F20 - NAKURU 7.5T BEER,473.09,-465.52
11,"KBLNBO F24- NANYUKI7.ST BEER BEEN N&O MOUNTAIN |NANYUKI 757 37,201.69 33,481.52",F24- NANYUKI7.ST BEER,KBL NBO F20 - NANYUKI 7.5T BEER,37201.69,33481.52,KBL NBO F20 - NANYUKI 7.5T BEER,320.09,36881.600000000006
11,"KBL.NBO F24 - NGONG 7.5T BEER BEER NBO NAMOB! |NGONG 73st 12,793.88 11,514.49",F24 - NGONG 7.5T BEER,KBL NBO F20 - NGONG 7.5T BEER,12793.88,11514.49,KBL NBO F20 - NGONG 7.5T BEER,414.16,12379.72
11,"KAL NBO F24- NIORO 7.57 BEER oven NBO MOUNTAIN |NIORO 75T 36,531.70 32,878.53",F24- NIORO 7.57 BEER,,7.57,36531.7,,,
11,"KBL NBO F24 . NRB NASRA 7.ST BEER JHceR [NBO ARON [WY 7.5 9,050.36 6,145.32",F24. NRB NASRA 7.ST BEER,,9050.36,6145.32,,,
11,"KBL NBO F24 - NVERI7.5T BEER DEER NiO [MOUNTAIN [NYERI 251 30,898.75 27,808.88",F24 - NVERI7.5T BEER,KBL NBO F20 - NYERI 7.5T BEER,30898.75,27808.88,KBL NBO F20 - NYERI 7.5T BEER,888.52,30010.23
11,"KAL NBO F24 - OTHAYA 7.57 DEER BEER [NBO MOUNTAIN [OTHAVA 7.57 25,079.00",F24 - OTHAYA 7.57 DEER BEER,,7.57,7.57,,,
11,"KBL NBO F24 . TAVETA 7.57 BEER nN N EGAST _|TAVETA 7:8T 63,839.27 57,455.34",F24. TAVETA 7.57 BEER,KBL NBO F20 - TAVETA 7.5T BEER,7.57,63839.27,KBL NBO F20 - TAVETA 7.5T BEER,111.45,-103.88
11,"KGL NAO F24- VOI7.ST BEER BEER NO |coast [vai 7ST 62,651.65 56,386.49",F24- VOI7.ST BEER,,62651.65,56386.49,,,
11,"KBLNGO F24- WAJIR7.5T BEER BEER NBO MOUNTAIN |WAJIR 7.51 217,464.35 105,717,92",F24- WAJIR7.5T BEER,,7.51,217464.35,,,
12,"KAL NBO F24- NAIROBI T POEER BEER NBO Namoal — [MAIROBI THT P/up $985.86 8,007.27.",F24- NAIROBI T POEER BEER,,985.86,8007.27,,,
12,"KBL NBO F24- AUALOUAU 147 KEG KEG NBO NaiROB! — aunUBURU 14T 13,538.63 32187",F24- AUALOUAU 147 KEG,,13538.63,,,,
12,"KBL NBO F24 - CHANGAMWE 14T KEG G COAST Changamwe 14T 145,235.84 103,712.26",F24 - CHANGAMWE 14T KEG,,145235.84,103712.26,,,
12,"KGL NOO F24 - DANDORA 14T KEG KEG 80 NAIROB! _|Dandora 14T 13,933.18 12,539.86",F24 - DANDORA 14T KEG,,13933.18,12539.86,,,
12,"KBL NBO F24 - DONYO 14T KEG KEG nao MOUNTAIN [Donyo 147 21,276,309 19,148.67",F24 - DONYO 14T KEG,,19148.67,,,,
12,"KBL NBO F24 - EMALI 147 KEG KEG Nao COAST EMALI 14T 34,697.19 31,227.42",F24 - EMALI 147 KEG,KBL NBO F20 - EMALI 14T KEG,34697.19,31227.42,KBL NBO F20 - EMALI 14T KEG,764.42,33932.770000000004
12,"KGL NBO F24 - EMU 14T KEG KEG [nao MOUNTAIN [EMBU 147 34,066.19 30,659.57",F24 - EMU 14T KEG,KBL NBO F20 - EMBU 14T KEG,34066.19,30659.57,KBL NBO F20 - EMBU 14T KEG,120.6,33945.590000000004
13,"KOL NBO F24 - GILGIL 14T KEG KEG ren 1aT 36,097.75 32,487.98",F24 - GILGIL 14T KEG,KBL NBO F20 - GILGIL 14T Keg,36097.75,32487.98,KBL NBO F20 - GILGIL 14T Keg,193.62,35904.13
13,"KBL NBO F24. GITHUNGURI 147 KEG KG GITHUNGUAI 147 19,186.64 17,267.98",F24. GITHUNGURI 147 KEG,KBL NBO F20 - GITHUNGURI 14T KEG,19186.64,17267.98,KBL NBO F20 - GITHUNGURI 14T KEG,937.38,18249.26
13,"KGLNGO F24. HOLA LAT KEG KEG Hols 1aT 113,399.22 103,879.40",F24. HOLA LAT KEG,,113399.22,103879.4,,,
13,"KEL NBO F24-IKUTHA 147 KEG KEG IKUTHA 147 98,994.90 53,095.41",F24-IKUTHA 147 KEG,,98994.9,53095.41,,,
13,"KOLUNDO F24-JUJA 147 KEG KEG luja iay 14,479.11 13,031.20",F24-JUJA 147 KEG,,14479.11,13031.2,,,
13,"KGL NBO F24 KABATI 141 KEG KES KABATI 147 25,416.08 22,074.47",F24 KABATI 141 KEG,,25416.08,22074.47,,,
13,"cL NOG F24-KAGIO 147 KEG KEG [Kagio 141 26,056.05 24,197.45",F24-KAGIO 147 KEG,,26056.05,24197.45,,,
13,"KELNBO F24- TALA 147 KEG KEG Kagundo 147 15,439.59 17,495.63",F24- TALA 147 KEG,,15439.59,17495.63,,,
13,"KBL NBO F24. KAHURO 14T KEG KEG |Kohuro 44T 27,858.11 75,072.94",F24. KAHURO 14T KEG,,27858.11,75072.94,,,
13,"KOL NBO F24- KAKAMEGA 147 KEG iat 93,505.82 83,257.94",F24- KAKAMEGA 147 KEG,KBL NBO F20 - KAKAMEGA 14T KEG,93505.82,83257.94,KBL NBO F20 - KAKAMEGA 14T KEG,782.4,92723.42000000001
13,"KBL NBO F24. KANGARI 147 KEG 147 23,955.38 23,559.04",F24. KANGARI 147 KEG,,23955.38,23559.04,,,
13,"KHL NBO F24 - KAPSABET 14T KEG 14T 99,654.22 89,688.40",F24 - KAPSABET 14T KEG,,99654.22,89688.4,,,
13,"KELNGO F24- KARATINA 141 KEG iat 34,204.95 aAG",F24- KARATINA 141 KEG,KBL NBO F20 - KARATINA 14T KEG,34204.95,,KBL NBO F20 - KARATINA 14T KEG,262.19,33942.759999999995
13,"KEL NGO F24- KERUGOYA 147 KEG 147 53,571.37 20,234.23",F24- KERUGOYA 147 KEG,,53571.37,20234.23,,,
13,"KBL NBO F24 - KIAMBU 14T KEG 147 14,291.71 12,862.54",F24 - KIAMBU 14T KEG,KBL NBO F20 - KINAMBA 14T KEG,14291.71,12862.54,KBL NBO F20 - KINAMBA 14T KEG,102.98,14188.73
13,"KBL NBO F24. KIANYAGA 147 KEG 147 34,625.57 33,163.01",F24. KIANYAGA 147 KEG,,34625.57,33163.01,,,
13,"KBLNBO F24- KIBWEZI 147 KEG 1ay 50,695.83 45,626.25",F24- KIBWEZI 147 KEG,,50695.83,45626.25,,,
13,"KOLNGO F24- KIKUYU 147 KEG 147 12,558.03 11,302.77",F24- KIKUYU 147 KEG,,12558.03,11302.77,,,
13,"ROL NOG F24- KILIFI 147 KEG iat 124,616.34 112,154.71",F24- KILIFI 147 KEG,,124616.34,112154.71,,,
13,"BL NGO F24- KINAMBA 14T KEG 147 60,508.92 54,458.08",F24- KINAMBA 14T KEG,KBL NBO F20 - KINAMBA 14T KEG,60508.92,54458.08,KBL NBO F20 - KINAMBA 14T KEG,102.98,60405.939999999995
